"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"cellulose synthase complex (CSC)","cellulose synthase complex (CSC)","cellulose synthase complex (CSC)","10/373","28/35106",0.357142857142857,33.6135580237457,17.8907085803926,1.79971904361159e-13,2.21365442364226e-11,1.6671081667139e-11,"HORVU.MOREX.r3.1HG0027850/HORVU.MOREX.r3.1HG0041280/HORVU.MOREX.r3.2HG0111610/HORVU.MOREX.r3.2HG0192540/HORVU.MOREX.r3.3HG0288960/HORVU.MOREX.r3.4HG0340370/HORVU.MOREX.r3.5HG0482670/HORVU.MOREX.r3.5HG0530450/HORVU.MOREX.r3.6HG0550800/HORVU.MOREX.r3.6HG0607960",10
"perception and signal transduction","perception and signal transduction","perception and signal transduction","18/373","191/35106",0.0942408376963351,8.86975562511405,11.3015930098138,2.91401853650663e-12,1.79212139995158e-10,1.34965069059254e-10,"HORVU.MOREX.r3.1HG0023840/HORVU.MOREX.r3.1HG0093420/HORVU.MOREX.r3.2HG0170250/HORVU.MOREX.r3.2HG0211040/HORVU.MOREX.r3.2HG0213660/HORVU.MOREX.r3.3HG0239900/HORVU.MOREX.r3.3HG0249060/HORVU.MOREX.r3.3HG0285210/HORVU.MOREX.r3.3HG0321410/HORVU.MOREX.r3.4HG0350240/HORVU.MOREX.r3.4HG0354980/HORVU.MOREX.r3.5HG0433470/HORVU.MOREX.r3.5HG0460770/HORVU.MOREX.r3.5HG0509760/HORVU.MOREX.r3.6HG0568450/HORVU.MOREX.r3.6HG0624390/HORVU.MOREX.r3.6HG0630560/HORVU.MOREX.r3.7HG0718610",18
"xylan","xylan","xylan","11/373","70/35106",0.157142857142857,14.7899655304481,11.9680308004857,2.07841156806542e-10,8.52148742906824e-09,6.41755150841254e-09,"HORVU.MOREX.r3.1HG0055480/HORVU.MOREX.r3.1HG0067020/HORVU.MOREX.r3.3HG0223500/HORVU.MOREX.r3.3HG0307560/HORVU.MOREX.r3.3HG0312020/HORVU.MOREX.r3.3HG0312050/HORVU.MOREX.r3.4HG0381260/HORVU.MOREX.r3.4HG0383410/HORVU.MOREX.r3.4HG0405920/HORVU.MOREX.r3.5HG0525440/HORVU.MOREX.r3.7HG0726260",11
"microtubule dynamics","microtubule dynamics","microtubule dynamics","8/373","30/35106",0.266666666666667,25.0981233243968,13.6837955159345,7.19236540309687e-10,2.21165236145229e-08,1.66560040913822e-08,"HORVU.MOREX.r3.1HG0074980/HORVU.MOREX.r3.3HG0219790/HORVU.MOREX.r3.3HG0300080/HORVU.MOREX.r3.4HG0392120/HORVU.MOREX.r3.4HG0405400/HORVU.MOREX.r3.5HG0432340/HORVU.MOREX.r3.5HG0520100/HORVU.MOREX.r3.6HG0589860",8
"Kinesin microtubule-based motor protein activities","Kinesin microtubule-based motor protein activities","Kinesin microtubule-based motor protein activities","7/373","44/35106",0.159090909090909,14.9733122105776,9.61114467619722,3.94849034456104e-07,9.71328624762016e-06,7.31509790150256e-06,"HORVU.MOREX.r3.1HG0076800/HORVU.MOREX.r3.2HG0184670/HORVU.MOREX.r3.5HG0468240/HORVU.MOREX.r3.6HG0599140/HORVU.MOREX.r3.6HG0619820/HORVU.MOREX.r3.7HG0647310/HORVU.MOREX.r3.7HG0687260",7
"preprophase microtubule organization","preprophase microtubule organization","preprophase microtubule organization","4/373","21/35106",0.19047619047619,17.9272309459977,8.0408615225557,6.50511934674994e-05,0.00133354946608374,0.00100429912721753,"HORVU.MOREX.r3.2HG0126960/HORVU.MOREX.r3.2HG0156930/HORVU.MOREX.r3.2HG0199160/HORVU.MOREX.r3.6HG0595110",4
"cell wall mechanical status","cell wall mechanical status","cell wall mechanical status","2/373","2/35106",1,94.1179624664879,13.6470227593858,0.000112590421717731,0.00197837455304014,0.0014899183625805,"HORVU.MOREX.r3.2HG0143250/HORVU.MOREX.r3.3HG0227750",2
"TKL protein kinase activities","TKL protein kinase activities","TKL protein kinase activities","18/373","623/35106",0.028892455858748,2.7192990760783,4.48704772175449,0.00014317416803975,0.00220130283361115,0.00165780615624973,"HORVU.MOREX.r3.1HG0062140/HORVU.MOREX.r3.2HG0123080/HORVU.MOREX.r3.2HG0168350/HORVU.MOREX.r3.2HG0180710/HORVU.MOREX.r3.2HG0183930/HORVU.MOREX.r3.2HG0189950/HORVU.MOREX.r3.2HG0214260/HORVU.MOREX.r3.3HG0245080/HORVU.MOREX.r3.3HG0247420/HORVU.MOREX.r3.3HG0270750/HORVU.MOREX.r3.4HG0354250/HORVU.MOREX.r3.4HG0405780/HORVU.MOREX.r3.5HG0477460/HORVU.MOREX.r3.6HG0542970/HORVU.MOREX.r3.6HG0611640/HORVU.MOREX.r3.7HG0685970/HORVU.MOREX.r3.7HG0722360/HORVU.MOREX.r3.7HG0743900",18
"xyloglucan","xyloglucan","xyloglucan","5/373","50/35106",0.1,9.4117962466488,6.16822664456155,0.000188602269705238,0.00257756435263825,0.00194116955953929,"HORVU.MOREX.r3.3HG0221900/HORVU.MOREX.r3.3HG0291490/HORVU.MOREX.r3.3HG0298340/HORVU.MOREX.r3.4HG0383570/HORVU.MOREX.r3.4HG0418230",5
"actin polymerisation","actin polymerisation","actin polymerisation","5/373","72/35106",0.0694444444444444,6.53596961572833,4.87284772074559,0.00102947391679997,0.0126625291766396,0.00953617943983126,"HORVU.MOREX.r3.3HG0246420/HORVU.MOREX.r3.3HG0259870/HORVU.MOREX.r3.3HG0273340/HORVU.MOREX.r3.3HG0305770/HORVU.MOREX.r3.5HG0526120",5
"meiotic initiation","meiotic initiation","meiotic initiation","2/373","6/35106",0.333333333333333,31.372654155496,7.71032293826216,0.00164182066262183,0.0168286617918738,0.0126737033605896,"HORVU.MOREX.r3.2HG0168700/HORVU.MOREX.r3.5HG0494140",2
"UDP-D-galacturonic acid biosynthesis","UDP-D-galacturonic acid biosynthesis","UDP-D-galacturonic acid biosynthesis","2/373","6/35106",0.333333333333333,31.372654155496,7.71032293826216,0.00164182066262183,0.0168286617918738,0.0126737033605896,"HORVU.MOREX.r3.2HG0192250/HORVU.MOREX.r3.4HG0391730",2
"modification and degradation","modification and degradation","modification and degradation","4/373","51/35106",0.0784313725490196,7.38180097776376,4.72629815116134,0.00211403180815666,0.0200019932617899,0.0150635464872701,"HORVU.MOREX.r3.3HG0274450/HORVU.MOREX.r3.4HG0382260/HORVU.MOREX.r3.6HG0617300/HORVU.MOREX.r3.7HG0663150",4
"hydroxyproline-rich glycoprotein activities","hydroxyproline-rich glycoprotein activities","hydroxyproline-rich glycoprotein activities","4/373","55/35106",0.0727272727272727,6.84494272483549,4.49551193063804,0.00279091102300745,0.024520146844994,0.0184661781973425,"HORVU.MOREX.r3.2HG0152530/HORVU.MOREX.r3.3HG0278710/HORVU.MOREX.r3.5HG0493200/HORVU.MOREX.r3.5HG0517170",4
"cytosolic  Hsp70 chaperone system","cytosolic  Hsp70 chaperone system","cytosolic  Hsp70 chaperone system","4/373","64/35106",0.0625,5.8823726541555,4.05129833263866,0.00482589556621913,0.0395723436429969,0.0298020217422655,"HORVU.MOREX.r3.5HG0429600/HORVU.MOREX.r3.5HG0497770/HORVU.MOREX.r3.7HG0642360/HORVU.MOREX.r3.7HG0686900",4
"glutamic peptidase activities","glutamic peptidase activities","glutamic peptidase activities","2/373","11/35106",0.181818181818182,17.1123568120887,5.53860695238598,0.00581197506460589,0.0446795583091578,0.0336482766898236,"HORVU.MOREX.r3.2HG0132270/HORVU.MOREX.r3.5HG0522560",2
"alpha-beta-Tubulin heterodimer","alpha-beta-Tubulin heterodimer","alpha-beta-Tubulin heterodimer","2/373","13/35106",0.153846153846154,14.4796865333058,5.0374294553518,0.00812765324806728,0.0555389638617931,0.0418265196391767,"HORVU.MOREX.r3.2HG0132170/HORVU.MOREX.r3.4HG0333380",2
"RopGAP GTPase-activating activities","RopGAP GTPase-activating activities","RopGAP GTPase-activating activities","2/373","13/35106",0.153846153846154,14.4796865333058,5.0374294553518,0.00812765324806728,0.0555389638617931,0.0418265196391767,"HORVU.MOREX.r3.4HG0390910/HORVU.MOREX.r3.5HG0460300",2
"MIP-type intrinsic protein activities","MIP-type intrinsic protein activities","MIP-type intrinsic protein activities","3/373","41/35106",0.0731707317073171,6.88668018047473,3.90834780431534,0.00940937725073615,0.0578676700920273,0.0435802735823569,"HORVU.MOREX.r3.1HG0049580/HORVU.MOREX.r3.2HG0105020/HORVU.MOREX.r3.4HG0407580",3
"phosphatidate homeostasis","phosphatidate homeostasis","phosphatidate homeostasis","3/373","41/35106",0.0731707317073171,6.88668018047473,3.90834780431534,0.00940937725073615,0.0578676700920273,0.0435802735823569,"HORVU.MOREX.r3.3HG0247090/HORVU.MOREX.r3.5HG0440700/HORVU.MOREX.r3.6HG0622450",3
"arabinogalactan","arabinogalactan","arabinogalactan","2/373","16/35106",0.125,11.764745308311,4.46313293556678,0.0122443687261111,0.0689261081347787,0.0519084083513952,"HORVU.MOREX.r3.6HG0566220/HORVU.MOREX.r3.7HG0711200",2
"beta-barrel DNA-binding domain","beta-barrel DNA-binding domain","beta-barrel DNA-binding domain","3/373","46/35106",0.0652173913043478,6.13812798694486,3.6136462367449,0.0128886218463407,0.0689261081347787,0.0519084083513952,"HORVU.MOREX.r3.1HG0087670/HORVU.MOREX.r3.2HG0211750/HORVU.MOREX.r3.5HG0428100",3
"Coat protein I (COPI) coatomer machinery","Coat protein I (COPI) coatomer machinery","Coat protein I (COPI) coatomer machinery","3/373","46/35106",0.0652173913043478,6.13812798694486,3.6136462367449,0.0128886218463407,0.0689261081347787,0.0519084083513952,"HORVU.MOREX.r3.4HG0380130/HORVU.MOREX.r3.5HG0495100/HORVU.MOREX.r3.7HG0685200",3
"rhamnogalacturonan I","rhamnogalacturonan I","rhamnogalacturonan I","3/373","50/35106",0.06,5.64707774798928,3.40762281253735,0.0161335474552168,0.0826844307079861,0.0622698322832929,"HORVU.MOREX.r3.4HG0391100/HORVU.MOREX.r3.7HG0672060/HORVU.MOREX.r3.7HG0716400",3
"glutathione biosynthesis","glutathione biosynthesis","glutathione biosynthesis","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0999958699593177,0.0753071164434742,"HORVU.MOREX.r3.7HG0730990",1
"homology-directed repair (HDR)","homology-directed repair (HDR)","homology-directed repair (HDR)","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0999958699593177,0.0753071164434742,"HORVU.MOREX.r3.3HG0293210",1
