"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"CSC components","CSC components","CSC components","8/373","11/35106",0.727272727272727,68.4494272483549,23.1856748859922,2.41840817775222e-14,3.82108492084851e-12,2.2147527522573e-12,"HORVU.MOREX.r3.1HG0027850/HORVU.MOREX.r3.1HG0041280/HORVU.MOREX.r3.2HG0111610/HORVU.MOREX.r3.3HG0288960/HORVU.MOREX.r3.4HG0340370/HORVU.MOREX.r3.5HG0482670/HORVU.MOREX.r3.5HG0530450/HORVU.MOREX.r3.6HG0550800",8
"biosynthesis","biosynthesis","biosynthesis","17/373","148/35106",0.114864864864865,10.8108470400696,12.3945804248131,4.67174466811716e-13,3.69067828781256e-11,2.13916729540102e-11,"HORVU.MOREX.r3.1HG0055480/HORVU.MOREX.r3.1HG0067020/HORVU.MOREX.r3.2HG0111640/HORVU.MOREX.r3.3HG0223500/HORVU.MOREX.r3.3HG0291490/HORVU.MOREX.r3.3HG0307560/HORVU.MOREX.r3.3HG0312020/HORVU.MOREX.r3.3HG0312050/HORVU.MOREX.r3.4HG0383410/HORVU.MOREX.r3.4HG0383570/HORVU.MOREX.r3.4HG0405920/HORVU.MOREX.r3.6HG0564510/HORVU.MOREX.r3.6HG0566220/HORVU.MOREX.r3.7HG0672060/HORVU.MOREX.r3.7HG0698110/HORVU.MOREX.r3.7HG0711200/HORVU.MOREX.r3.7HG0726260",17
"cortical microtubule organisation","cortical microtubule organisation","cortical microtubule organisation","5/373","13/35106",0.384615384615385,36.1992163332646,13.1541314944066,1.58192544654035e-07,8.33147401844584e-06,4.82903557364949e-06,"HORVU.MOREX.r3.1HG0074980/HORVU.MOREX.r3.3HG0300080/HORVU.MOREX.r3.4HG0405400/HORVU.MOREX.r3.5HG0432340/HORVU.MOREX.r3.6HG0589860",5
"Kinesin-7-type motor protein","Kinesin-7-type motor protein","Kinesin-7-type motor protein","4/373","12/35106",0.333333333333333,31.372654155496,10.9049753585772,5.80327923638691e-06,0.000229229529837283,0.000132864550938332,"HORVU.MOREX.r3.2HG0184670/HORVU.MOREX.r3.6HG0599140/HORVU.MOREX.r3.6HG0619820/HORVU.MOREX.r3.7HG0687260",4
"histidine-aspartate phosphorelay signal transduction","histidine-aspartate phosphorelay signal transduction","histidine-aspartate phosphorelay signal transduction","6/373","45/35106",0.133333333333333,12.5490616621984,8.03356966361001,7.93416052282007e-06,0.000250719472521114,0.000145320413786389,"HORVU.MOREX.r3.2HG0170250/HORVU.MOREX.r3.2HG0211040/HORVU.MOREX.r3.3HG0321410/HORVU.MOREX.r3.5HG0460770/HORVU.MOREX.r3.6HG0568450/HORVU.MOREX.r3.6HG0624390",6
"nucleotide exchange function co-chaperone activities","nucleotide exchange function co-chaperone activities","nucleotide exchange function co-chaperone activities","3/373","8/35106",0.375,35.294235924933,10.0529308754341,6.40457092573399e-05,0.00168653701044328,0.000977539772875188,"HORVU.MOREX.r3.5HG0497770/HORVU.MOREX.r3.7HG0642360/HORVU.MOREX.r3.7HG0686900",3
"transcriptional repressor *(IAA/AUX)","transcriptional repressor *(IAA/AUX)","transcriptional repressor *(IAA/AUX)","4/373","27/35106",0.148148148148148,13.9434018468871,6.97227440287104,0.000181387136977309,0.00409416680605925,0.00237303472436479,"HORVU.MOREX.r3.3HG0239900/HORVU.MOREX.r3.3HG0249060/HORVU.MOREX.r3.5HG0433470/HORVU.MOREX.r3.5HG0509760",4
"LRR-III protein kinase","LRR-III protein kinase","LRR-III protein kinase","4/373","30/35106",0.133333333333333,12.5490616621984,6.55797947661955,0.000276213824274162,0.0054552230294147,0.00316192140945422,"HORVU.MOREX.r3.2HG0123080/HORVU.MOREX.r3.2HG0189950/HORVU.MOREX.r3.3HG0247420/HORVU.MOREX.r3.3HG0270750",4
"modification and degradation","modification and degradation","modification and degradation","7/373","122/35106",0.0573770491803279,5.40021096119193,5.04529353033895,0.000340067098156768,0.0059700668343077,0.00346033187598115,"HORVU.MOREX.r3.3HG0221900/HORVU.MOREX.r3.3HG0298340/HORVU.MOREX.r3.4HG0381260/HORVU.MOREX.r3.4HG0391100/HORVU.MOREX.r3.4HG0418230/HORVU.MOREX.r3.5HG0525440/HORVU.MOREX.r3.7HG0716400",7
"ARF transcription factor","ARF transcription factor","ARF transcription factor","3/373","16/35106",0.1875,17.6471179624665,6.90200263290828,0.000601223099169227,0.00949932496687379,0.00550593785554977,"HORVU.MOREX.r3.1HG0087670/HORVU.MOREX.r3.2HG0211750/HORVU.MOREX.r3.5HG0428100",3
