"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"cellulose synthase *(CesA)","cellulose synthase *(CesA)","cellulose synthase *(CesA)","7/373","8/35106",0.875,82.353217158177,23.8476888762155,1.14569029288144e-13,1.2717162250984e-11,5.90934993170426e-12,"HORVU.MOREX.r3.1HG0027850/HORVU.MOREX.r3.1HG0041280/HORVU.MOREX.r3.2HG0111610/HORVU.MOREX.r3.3HG0288960/HORVU.MOREX.r3.5HG0482670/HORVU.MOREX.r3.5HG0530450/HORVU.MOREX.r3.6HG0550800",7
"beta-Tubulin kinase *(NEK1/2/++)","beta-Tubulin kinase *(NEK1/2/++)","beta-Tubulin kinase *(NEK1/2/++)","4/373","5/35106",0.8,75.2943699731904,17.216660599547,6.21839749566945e-08,3.45121061009654e-06,1.60369198572528e-06,"HORVU.MOREX.r3.1HG0074980/HORVU.MOREX.r3.3HG0300080/HORVU.MOREX.r3.5HG0432340/HORVU.MOREX.r3.6HG0589860",4
"response regulator activities","response regulator activities","response regulator activities","6/373","24/35106",0.25,23.529490616622,11.4414898002039,1.58254083361166e-07,5.85540108436315e-06,2.72085967884111e-06,"HORVU.MOREX.r3.2HG0170250/HORVU.MOREX.r3.2HG0211040/HORVU.MOREX.r3.3HG0321410/HORVU.MOREX.r3.5HG0460770/HORVU.MOREX.r3.6HG0568450/HORVU.MOREX.r3.6HG0624390",6
"glucuronosyltransferase activities","glucuronosyltransferase activities","glucuronosyltransferase activities","4/373","7/35106",0.571428571428571,53.7816928379931,14.4728053049608,4.28000855562482e-07,1.18770237418589e-05,5.51895840067412e-06,"HORVU.MOREX.r3.1HG0055480/HORVU.MOREX.r3.1HG0067020/HORVU.MOREX.r3.3HG0307560/HORVU.MOREX.r3.4HG0405920",4
"molecular co-chaperone *(BAG1/2/3/4)","molecular co-chaperone *(BAG1/2/3/4)","molecular co-chaperone *(BAG1/2/3/4)","3/373","5/35106",0.6,56.4707774798928,12.8545615153468,1.17118839912317e-05,0.000260003824605343,0.000120817329593758,"HORVU.MOREX.r3.5HG0497770/HORVU.MOREX.r3.7HG0642360/HORVU.MOREX.r3.7HG0686900",3
"Fasciclin-type arabinogalactan protein activities","Fasciclin-type arabinogalactan protein activities","Fasciclin-type arabinogalactan protein activities","4/373","22/35106",0.181818181818182,17.1123568120887,7.83400088982278,7.88421878977915e-05,0.00145858047610914,0.000677766176665225,"HORVU.MOREX.r3.2HG0152530/HORVU.MOREX.r3.3HG0278710/HORVU.MOREX.r3.5HG0493200/HORVU.MOREX.r3.5HG0517170",4
"component *(TRM)","component *(TRM)","component *(TRM)","2/373","2/35106",1,94.1179624664879,13.6470227593858,0.000112590421717731,0.00178536240152403,0.000829613633709599,"HORVU.MOREX.r3.2HG0126960/HORVU.MOREX.r3.2HG0156930",2
"ARF-GTPase activation","ARF-GTPase activation","ARF-GTPase activation","3/373","13/35106",0.230769230769231,21.7195297999588,7.74299680170342,0.000314409488779681,0.00436243165681807,0.00202711380923742,"HORVU.MOREX.r3.4HG0380130/HORVU.MOREX.r3.5HG0495100/HORVU.MOREX.r3.7HG0685200",3
"polysaccharide O-acetyltransferase *(TBR)","polysaccharide O-acetyltransferase *(TBR)","polysaccharide O-acetyltransferase *(TBR)","2/373","5/35106",0.4,37.6471849865952,8.49246243114656,0.00110229336988138,0.0135949515618704,0.00631723685663014,"HORVU.MOREX.r3.4HG0382260/HORVU.MOREX.r3.7HG0663150",2
"component *(NF-YA)","component *(NF-YA)","component *(NF-YA)","2/373","7/35106",0.285714285714286,26.8908464189966,7.09930203551665,0.00228241017884689,0.0253347529852005,0.0117724314487892,"HORVU.MOREX.r3.4HG0404220/HORVU.MOREX.r3.5HG0508050",2
"beta-1,3-galactosyltransferase *(B3GALT1/2/3)","beta-1,3-galactosyltransferase *(B3GALT1/2/3)","beta-1,3-galactosyltransferase *(B3GALT1/2/3)","2/373","8/35106",0.25,23.529490616622,6.60424137523877,0.00302186500204341,0.0279522512689015,0.0129887179912392,"HORVU.MOREX.r3.6HG0566220/HORVU.MOREX.r3.7HG0711200",2
"receptor protein *(ETR/ERS)","receptor protein *(ETR/ERS)","receptor protein *(ETR/ERS)","2/373","8/35106",0.25,23.529490616622,6.60424137523877,0.00302186500204341,0.0279522512689015,0.0129887179912392,"HORVU.MOREX.r3.1HG0023840/HORVU.MOREX.r3.6HG0630560",2
"LRR-VI-2 protein kinase","LRR-VI-2 protein kinase","LRR-VI-2 protein kinase","2/373","9/35106",0.222222222222222,20.9151027703307,6.19208009286158,0.00385802327382594,0.0329415833380523,0.0153071368759086,"HORVU.MOREX.r3.1HG0062140/HORVU.MOREX.r3.2HG0214260",2
"beta-galactosidase activities","beta-galactosidase activities","beta-galactosidase activities","2/373","11/35106",0.181818181818182,17.1123568120887,5.53860695238598,0.00581197506460589,0.0460806594408038,0.0214125397117059,"HORVU.MOREX.r3.4HG0391100/HORVU.MOREX.r3.7HG0716400",2
"1,6-alpha-xylosidase *(AXYL1/2)","1,6-alpha-xylosidase *(AXYL1/2)","1,6-alpha-xylosidase *(AXYL1/2)","1/373","1/35106",1,94.1179624664879,9.64976489177265,0.0106249643935505,0.0471748419073644,0.0219209791698516,"HORVU.MOREX.r3.3HG0221900",1
"cohesin cofactor *(PDS5b)","cohesin cofactor *(PDS5b)","cohesin cofactor *(PDS5b)","1/373","1/35106",1,94.1179624664879,9.64976489177265,0.0106249643935505,0.0471748419073644,0.0219209791698516,"HORVU.MOREX.r3.3HG0299300",1
"component *(MND1)","component *(MND1)","component *(MND1)","1/373","1/35106",1,94.1179624664879,9.64976489177265,0.0106249643935505,0.0471748419073644,0.0219209791698516,"HORVU.MOREX.r3.5HG0471110",1
