"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"nucleoporin *(NUP136)","nucleoporin *(NUP136)","nucleoporin *(NUP136)","2/519","2/35106",1,67.6416184971098,11.5450003813232,0.000218145767789777,0.0270500752059324,0.0128591189433974,"HORVU.MOREX.r3.5HG0449530/HORVU.MOREX.r3.5HG0517130",2
"rhamnogalacturonan-I O-acetyltransferase *(TBL)","rhamnogalacturonan-I O-acetyltransferase *(TBL)","rhamnogalacturonan-I O-acetyltransferase *(TBL)","2/519","3/35106",0.666666666666667,45.0944123314066,9.35586162530173,0.000648011747196399,0.0401767283261767,0.0190992936015781,"HORVU.MOREX.r3.2HG0180040/HORVU.MOREX.r3.5HG0459290",2
"LRR-VI-1 protein kinase","LRR-VI-1 protein kinase","LRR-VI-1 protein kinase","2/519","4/35106",0.5,33.8208092485549,8.04127788522394,0.00128331406168907,0.0530436478831481,0.025215995598101,"HORVU.MOREX.r3.2HG0151770/HORVU.MOREX.r3.7HG0715280",2
"TREX-2 ribonucleoparticle (RNP) trafficking complex","TREX-2 ribonucleoparticle (RNP) trafficking complex","TREX-2 ribonucleoparticle (RNP) trafficking complex","2/519","5/35106",0.4,27.0566473988439,7.13765437266206,0.00211790774283654,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.2HG0119040/HORVU.MOREX.r3.3HG0303320",2
"import karyopherin *(IMB1)","import karyopherin *(IMB1)","import karyopherin *(IMB1)","2/519","6/35106",0.333333333333333,22.5472061657033,6.46583703818951,0.00314578400949576,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.5HG0442050/HORVU.MOREX.r3.5HG0442170",2
"ABC1 subfamily-B transporter activities","ABC1 subfamily-B transporter activities","ABC1 subfamily-B transporter activities","3/519","21/35106",0.142857142857143,9.66308835672998,4.86444582982139,0.0035043832794488,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.4HG0386920/HORVU.MOREX.r3.7HG0700440/HORVU.MOREX.r3.7HG0700460",3
"beta-galactosidase activities","beta-galactosidase activities","beta-galactosidase activities","2/519","11/35106",0.181818181818182,12.2984760903836,4.59097904798085,0.0109832974358227,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.1HG0080850/HORVU.MOREX.r3.5HG0463600",2
"chromatin remodeling factor *(CHR36)","chromatin remodeling factor *(CHR36)","chromatin remodeling factor *(CHR36)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.7HG0704900",1
"chromatin remodeling factor *(CHR9)","chromatin remodeling factor *(CHR9)","chromatin remodeling factor *(CHR9)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.2HG0132190",1
"clade J protein phosphatase","clade J protein phosphatase","clade J protein phosphatase","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.7HG0723360",1
"class-II alpha-mannosidase II","class-II alpha-mannosidase II","class-II alpha-mannosidase II","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.7HG0668450",1
"component *(AUG8)","component *(AUG8)","component *(AUG8)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.5HG0482660",1
"component *(NFRKB2)","component *(NFRKB2)","component *(NFRKB2)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.5HG0538040",1
"component *(POLD3)","component *(POLD3)","component *(POLD3)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.3HG0243420",1
"component *(SCD1)","component *(SCD1)","component *(SCD1)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.3HG0267340",1
"component *(U11-48K)","component *(U11-48K)","component *(U11-48K)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.2HG0160290",1
"DNA helicase *(RecQ2)","DNA helicase *(RecQ2)","DNA helicase *(RecQ2)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.4HG0354110",1
"enoyl-CoA reductase *(ECR)","enoyl-CoA reductase *(ECR)","enoyl-CoA reductase *(ECR)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.3HG0230880",1
"export karyopherin *(XPO7)","export karyopherin *(XPO7)","export karyopherin *(XPO7)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.3HG0257590",1
"group-SAC-III phosphoinositide phosphatase","group-SAC-III phosphoinositide phosphatase","group-SAC-III phosphoinositide phosphatase","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.5HG0422410",1
"histone demethylase *(PKDM11)","histone demethylase *(PKDM11)","histone demethylase *(PKDM11)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.3HG0266450",1
"histone methylase *(PRMT4)","histone methylase *(PRMT4)","histone methylase *(PRMT4)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.2HG0113710",1
"meiotic crossover formation factor *(FANCD2)","meiotic crossover formation factor *(FANCD2)","meiotic crossover formation factor *(FANCD2)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.2HG0152100",1
"molecular co-chaperone *(BAG6)","molecular co-chaperone *(BAG6)","molecular co-chaperone *(BAG6)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.4HG0418350",1
"MyoB class-IIIb myosin receptor","MyoB class-IIIb myosin receptor","MyoB class-IIIb myosin receptor","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.2HG0159440",1
"nucleotide sugar transporter *(ROCK)","nucleotide sugar transporter *(ROCK)","nucleotide sugar transporter *(ROCK)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.061106363584576,0.0290488655410548,"HORVU.MOREX.r3.6HG0587730",1
