"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"ER-tubule formation factor *(RHD3/RL)","ER-tubule formation factor *(RHD3/RL)","ER-tubule formation factor *(RHD3/RL)","2/519","3/35106",0.666666666666667,45.0944123314066,9.35586162530173,0.000648011747196399,0.0565783925586332,0.0385363664486046,"HORVU.MOREX.r3.3HG0267280/HORVU.MOREX.r3.5HG0432550",2
"LRR-VI protein kinase activities","LRR-VI protein kinase activities","LRR-VI protein kinase activities","3/519","13/35106",0.230769230769231,15.6096042685638,6.45374201832613,0.00082273370122589,0.0565783925586332,0.0385363664486046,"HORVU.MOREX.r3.2HG0151770/HORVU.MOREX.r3.5HG0465560/HORVU.MOREX.r3.7HG0715280",3
"NF-X transcription factor *(NF-X1)","NF-X transcription factor *(NF-X1)","NF-X transcription factor *(NF-X1)","2/519","4/35106",0.5,33.8208092485549,8.04127788522394,0.00128331406168907,0.0565783925586332,0.0385363664486046,"HORVU.MOREX.r3.7HG0678830/HORVU.MOREX.r3.7HG0744850",2
"nuclear transport receptor activities","nuclear transport receptor activities","nuclear transport receptor activities","3/519","17/35106",0.176470588235294,11.9367562053723,5.52508821982523,0.00187200348620586,0.0565783925586332,0.0385363664486046,"HORVU.MOREX.r3.3HG0257590/HORVU.MOREX.r3.5HG0442050/HORVU.MOREX.r3.5HG0442170",3
"nuclear basket","nuclear basket","nuclear basket","2/519","5/35106",0.4,27.0566473988439,7.13765437266206,0.00211790774283654,0.0565783925586332,0.0385363664486046,"HORVU.MOREX.r3.5HG0449530/HORVU.MOREX.r3.5HG0517130",2
"SSO1653-catalytic domain group","SSO1653-catalytic domain group","SSO1653-catalytic domain group","2/519","5/35106",0.4,27.0566473988439,7.13765437266206,0.00211790774283654,0.0565783925586332,0.0385363664486046,"HORVU.MOREX.r3.2HG0132190/HORVU.MOREX.r3.7HG0704900",2
"UDP-D-glucuronic acid 4-epimerase","UDP-D-glucuronic acid 4-epimerase","UDP-D-glucuronic acid 4-epimerase","2/519","5/35106",0.4,27.0566473988439,7.13765437266206,0.00211790774283654,0.0565783925586332,0.0385363664486046,"HORVU.MOREX.r3.5HG0493330/HORVU.MOREX.r3.6HG0623150",2
"cytosine methylation reader activities","cytosine methylation reader activities","cytosine methylation reader activities","2/519","6/35106",0.333333333333333,22.5472061657033,6.46583703818951,0.00314578400949576,0.0735327012219634,0.0500841927827614,"HORVU.MOREX.r3.7HG0681470/HORVU.MOREX.r3.7HG0696680",2
"fatty acid elongation complex","fatty acid elongation complex","fatty acid elongation complex","5/519","78/35106",0.0641025641025641,4.33600118571217,3.61307975114246,0.00603764053287878,0.0953300054809431,0.0649306538879488,"HORVU.MOREX.r3.3HG0230880/HORVU.MOREX.r3.4HG0361130/HORVU.MOREX.r3.4HG0392320/HORVU.MOREX.r3.4HG0395960/HORVU.MOREX.r3.7HG0674270",5
"poly(A) RNA polymerase *(PAPS)","poly(A) RNA polymerase *(PAPS)","poly(A) RNA polymerase *(PAPS)","2/519","9/35106",0.222222222222222,15.0314707771355,5.15704799947333,0.0073310075719762,0.0953300054809431,0.0649306538879488,"HORVU.MOREX.r3.4HG0340660/HORVU.MOREX.r3.4HG0381380",2
