"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"fatty acid elongation complex","fatty acid elongation complex","fatty acid elongation complex","4/114","78/35106",0.0512820512820513,15.7921727395412,7.46490236901537,0.0001249958955716,0.00574981119629361,0.00210519403067958,"HORVU.MOREX.r3.4HG0401580/HORVU.MOREX.r3.4HG0405320/HORVU.MOREX.r3.6HG0628580/HORVU.MOREX.r3.7HG0639840",4
"regulatory mediator *(SVB)","regulatory mediator *(SVB)","regulatory mediator *(SVB)","2/114","13/35106",0.153846153846154,47.3765182186235,9.5457949177383,0.000796467391355743,0.0176532680015936,0.00646343908525166,"HORVU.MOREX.r3.3HG0246070/HORVU.MOREX.r3.3HG0246080",2
"Lectin-type receptor-like protein kinase activities","Lectin-type receptor-like protein kinase activities","Lectin-type receptor-like protein kinase activities","4/114","140/35106",0.0285714285714286,8.7984962406015,5.27721076711261,0.00115130008706045,0.0176532680015936,0.00646343908525166,"HORVU.MOREX.r3.2HG0207630/HORVU.MOREX.r3.3HG0235770/HORVU.MOREX.r3.5HG0518200/HORVU.MOREX.r3.6HG0590590",4
"sugar efflux transporter *(SWEET1/2/3)","sugar efflux transporter *(SWEET1/2/3)","sugar efflux transporter *(SWEET1/2/3)","2/114","24/35106",0.0833333333333333,25.6622807017544,6.89841340097276,0.00275328087037666,0.0228638780656882,0.00837121393709408,"HORVU.MOREX.r3.1HG0066620/HORVU.MOREX.r3.5HG0428260",2
"very long chain fatty acid elongation","very long chain fatty acid elongation","very long chain fatty acid elongation","1/114","1/35106",1,307.947368421053,17.5199134821224,0.00324730815245267,0.0228638780656882,0.00837121393709408,"HORVU.MOREX.r3.2HG0191470",1
"wax lipid exporter *(CER5)","wax lipid exporter *(CER5)","wax lipid exporter *(CER5)","1/114","1/35106",1,307.947368421053,17.5199134821224,0.00324730815245267,0.0228638780656882,0.00837121393709408,"HORVU.MOREX.r3.1HG0032470",1
"SnRK3 SNF1-related protein kinase","SnRK3 SNF1-related protein kinase","SnRK3 SNF1-related protein kinase","2/114","27/35106",0.0740740740740741,22.8109161793372,6.47119847588985,0.00347928579260473,0.0228638780656882,0.00837121393709408,"HORVU.MOREX.r3.2HG0121170/HORVU.MOREX.r3.3HG0264740",2
"invertase activities","invertase activities","invertase activities","2/114","36/35106",0.0555555555555556,17.1081871345029,5.51928175809331,0.0061271798016066,0.0248159762024178,0.00908594094367699,"HORVU.MOREX.r3.2HG0168900/HORVU.MOREX.r3.6HG0542040",2
"B-class RAB GTPase","B-class RAB GTPase","B-class RAB GTPase","1/114","2/35106",0.5,153.973684210526,12.3482653310217,0.00648416349700776,0.0248159762024178,0.00908594094367699,"HORVU.MOREX.r3.2HG0174560",1
"spermine synthase *(SPMS)","spermine synthase *(SPMS)","spermine synthase *(SPMS)","1/114","2/35106",0.5,153.973684210526,12.3482653310217,0.00648416349700776,0.0248159762024178,0.00908594094367699,"HORVU.MOREX.r3.7HG0708730",1
