"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"small ribosomal subunit (SSU)","small ribosomal subunit (SSU)","small ribosomal subunit (SSU)","35/1542","61/35106",0.573770491803279,13.0627671110544,20.211039363117,8.64887437997918e-32,3.29522113877207e-29,2.53093376593075e-29,"HORVU.MOREX.r3.1HG0014620/HORVU.MOREX.r3.1HG0069950/HORVU.MOREX.r3.1HG0084340/HORVU.MOREX.r3.1HG0086720/HORVU.MOREX.r3.2HG0116060/HORVU.MOREX.r3.2HG0141000/HORVU.MOREX.r3.2HG0191430/HORVU.MOREX.r3.2HG0196300/HORVU.MOREX.r3.2HG0197290/HORVU.MOREX.r3.2HG0209150/HORVU.MOREX.r3.2HG0214620/HORVU.MOREX.r3.3HG0232850/HORVU.MOREX.r3.3HG0250210/HORVU.MOREX.r3.3HG0280990/HORVU.MOREX.r3.3HG0295850/HORVU.MOREX.r3.3HG0306670/HORVU.MOREX.r3.4HG0341160/HORVU.MOREX.r3.4HG0344470/HORVU.MOREX.r3.4HG0379010/HORVU.MOREX.r3.4HG0383540/HORVU.MOREX.r3.4HG0411240/HORVU.MOREX.r3.5HG0420730/HORVU.MOREX.r3.5HG0430390/HORVU.MOREX.r3.5HG0454500/HORVU.MOREX.r3.5HG0461960/HORVU.MOREX.r3.5HG0493910/HORVU.MOREX.r3.5HG0519230/HORVU.MOREX.r3.7HG0643180/HORVU.MOREX.r3.7HG0683960/HORVU.MOREX.r3.7HG0699910/HORVU.MOREX.r3.7HG0710080/HORVU.MOREX.r3.7HG0712780/HORVU.MOREX.r3.7HG0722670/HORVU.MOREX.r3.7HG0745010/HORVU.MOREX.r3.7HG0747280",35
"large ribosomal subunit (LSU)","large ribosomal subunit (LSU)","large ribosomal subunit (LSU)","33/1542","60/35106",0.55,12.5215953307393,19.1451526645779,3.23865917159922e-29,6.1696457218965e-27,4.73866973528727e-27,"HORVU.MOREX.r3.1HG0019380/HORVU.MOREX.r3.1HG0060300/HORVU.MOREX.r3.1HG0086250/HORVU.MOREX.r3.1HG0093090/HORVU.MOREX.r3.1HG0095090/HORVU.MOREX.r3.2HG0110720/HORVU.MOREX.r3.2HG0127540/HORVU.MOREX.r3.2HG0142760/HORVU.MOREX.r3.2HG0194250/HORVU.MOREX.r3.2HG0196710/HORVU.MOREX.r3.3HG0229250/HORVU.MOREX.r3.4HG0332160/HORVU.MOREX.r3.4HG0335750/HORVU.MOREX.r3.4HG0349380/HORVU.MOREX.r3.4HG0375670/HORVU.MOREX.r3.4HG0377890/HORVU.MOREX.r3.4HG0411190/HORVU.MOREX.r3.5HG0423800/HORVU.MOREX.r3.5HG0446440/HORVU.MOREX.r3.5HG0455100/HORVU.MOREX.r3.5HG0466770/HORVU.MOREX.r3.5HG0480210/HORVU.MOREX.r3.5HG0505300/HORVU.MOREX.r3.5HG0508060/HORVU.MOREX.r3.5HG0520790/HORVU.MOREX.r3.6HG0589890/HORVU.MOREX.r3.6HG0591300/HORVU.MOREX.r3.6HG0628850/HORVU.MOREX.r3.7HG0647360/HORVU.MOREX.r3.7HG0648330/HORVU.MOREX.r3.7HG0661600/HORVU.MOREX.r3.7HG0689220/HORVU.MOREX.r3.7HG0715150",33
"rRNA maturation","rRNA maturation","rRNA maturation","23/1542","55/35106",0.418181818181818,9.52055182171914,13.5546616056297,2.49015543971983e-17,3.16249740844419e-15,2.42899372716531e-15,"HORVU.MOREX.r3.1HG0084680/HORVU.MOREX.r3.1HG0089590/HORVU.MOREX.r3.2HG0114930/HORVU.MOREX.r3.2HG0116280/HORVU.MOREX.r3.2HG0195080/HORVU.MOREX.r3.2HG0202400/HORVU.MOREX.r3.3HG0237720/HORVU.MOREX.r3.3HG0295660/HORVU.MOREX.r3.4HG0398810/HORVU.MOREX.r3.5HG0488110/HORVU.MOREX.r3.5HG0488130/HORVU.MOREX.r3.5HG0528860/HORVU.MOREX.r3.5HG0530580/HORVU.MOREX.r3.6HG0544400/HORVU.MOREX.r3.6HG0550880/HORVU.MOREX.r3.6HG0579150/HORVU.MOREX.r3.6HG0630670/HORVU.MOREX.r3.7HG0654170/HORVU.MOREX.r3.7HG0667910/HORVU.MOREX.r3.7HG0696930/HORVU.MOREX.r3.7HG0712920/HORVU.MOREX.r3.7HG0719480/HORVU.MOREX.r3.7HG0738150",23
"mitochondrial ribosome biogenesis","mitochondrial ribosome biogenesis","mitochondrial ribosome biogenesis","18/1542","34/35106",0.529411764705882,12.0528725108721,13.8205132708317,3.79083579503048e-16,3.61077109476654e-14,2.77329566057493e-14,"HORVU.MOREX.r3.1HG0056230/HORVU.MOREX.r3.2HG0114570/HORVU.MOREX.r3.2HG0127140/HORVU.MOREX.r3.3HG0247050/HORVU.MOREX.r3.3HG0290660/HORVU.MOREX.r3.3HG0294190/HORVU.MOREX.r3.3HG0305790/HORVU.MOREX.r3.4HG0337220/HORVU.MOREX.r3.5HG0421560/HORVU.MOREX.r3.5HG0531550/HORVU.MOREX.r3.5HG0535460/HORVU.MOREX.r3.6HG0542950/HORVU.MOREX.r3.6HG0593260/HORVU.MOREX.r3.6HG0593640/HORVU.MOREX.r3.6HG0596990/HORVU.MOREX.r3.7HG0643190/HORVU.MOREX.r3.7HG0674340/HORVU.MOREX.r3.7HG0738670",18
"tRNA methylation","tRNA methylation","tRNA methylation","15/1542","28/35106",0.535714285714286,12.1963590883824,12.7036418636918,8.92462402498585e-14,6.80056350703921e-12,5.22325363988645e-12,"HORVU.MOREX.r3.2HG0095990/HORVU.MOREX.r3.2HG0100410/HORVU.MOREX.r3.2HG0123800/HORVU.MOREX.r3.2HG0199540/HORVU.MOREX.r3.3HG0224710/HORVU.MOREX.r3.3HG0240520/HORVU.MOREX.r3.4HG0388500/HORVU.MOREX.r3.4HG0412180/HORVU.MOREX.r3.4HG0417170/HORVU.MOREX.r3.5HG0482090/HORVU.MOREX.r3.5HG0488290/HORVU.MOREX.r3.5HG0510120/HORVU.MOREX.r3.5HG0529430/HORVU.MOREX.r3.6HG0614630/HORVU.MOREX.r3.7HG0726560",15
"Pre-Initiation Complex (PIC) module","Pre-Initiation Complex (PIC) module","Pre-Initiation Complex (PIC) module","16/1542","43/35106",0.372093023255814,8.47126956836485,10.507367389292,1.53161479988935e-11,9.72575397929735e-10,7.46998095384629e-10,"HORVU.MOREX.r3.1HG0077420/HORVU.MOREX.r3.2HG0108540/HORVU.MOREX.r3.3HG0224450/HORVU.MOREX.r3.4HG0370630/HORVU.MOREX.r3.4HG0384040/HORVU.MOREX.r3.5HG0439040/HORVU.MOREX.r3.5HG0456970/HORVU.MOREX.r3.5HG0482220/HORVU.MOREX.r3.5HG0490320/HORVU.MOREX.r3.5HG0508180/HORVU.MOREX.r3.5HG0513560/HORVU.MOREX.r3.6HG0548940/HORVU.MOREX.r3.6HG0551860/HORVU.MOREX.r3.6HG0622490/HORVU.MOREX.r3.6HG0628240/HORVU.MOREX.r3.7HG0711390",16
"spliceosome-associated non-snRNP factor activities","spliceosome-associated non-snRNP factor activities","spliceosome-associated non-snRNP factor activities","15/1542","44/35106",0.340909090909091,7.76131941987973,9.61898546175148,2.8201042414784e-10,1.53494245143324e-08,1.17893079568571e-08,"HORVU.MOREX.r3.1HG0025350/HORVU.MOREX.r3.2HG0096530/HORVU.MOREX.r3.2HG0180950/HORVU.MOREX.r3.3HG0259260/HORVU.MOREX.r3.4HG0334380/HORVU.MOREX.r3.4HG0334460/HORVU.MOREX.r3.4HG0355850/HORVU.MOREX.r3.4HG0375880/HORVU.MOREX.r3.4HG0416540/HORVU.MOREX.r3.5HG0467490/HORVU.MOREX.r3.7HG0644530/HORVU.MOREX.r3.7HG0650310/HORVU.MOREX.r3.7HG0687080/HORVU.MOREX.r3.7HG0748410/HORVU.MOREX.r3.7HG0752950",15
"TRiC/CCT chaperonin folding complex","TRiC/CCT chaperonin folding complex","TRiC/CCT chaperonin folding complex","8/1542","11/35106",0.727272727272727,16.5574814290768,11.0612148946846,1.99505383481852e-09,9.50144388832322e-08,7.29769692209933e-08,"HORVU.MOREX.r3.1HG0055300/HORVU.MOREX.r3.4HG0370780/HORVU.MOREX.r3.4HG0397450/HORVU.MOREX.r3.5HG0502130/HORVU.MOREX.r3.6HG0564480/HORVU.MOREX.r3.6HG0630550/HORVU.MOREX.r3.7HG0662210/HORVU.MOREX.r3.7HG0717720",8
"organelle machinery","organelle machinery","organelle machinery","9/1542","24/35106",0.375,8.5374513618677,7.91731256764705,4.27114057100694e-07,1.80811617505961e-05,1.38874512133325e-05,"HORVU.MOREX.r3.2HG0206920/HORVU.MOREX.r3.3HG0275170/HORVU.MOREX.r3.3HG0292560/HORVU.MOREX.r3.3HG0298200/HORVU.MOREX.r3.3HG0305240/HORVU.MOREX.r3.3HG0319320/HORVU.MOREX.r3.3HG0319950/HORVU.MOREX.r3.5HG0535000/HORVU.MOREX.r3.6HG0564520",9
"Exosome RNA surveillance complex","Exosome RNA surveillance complex","Exosome RNA surveillance complex","10/1542","33/35106",0.303030303030303,6.89895059544865,7.26666418491706,9.5139095171604e-07,3.62479952603811e-05,2.78407036396904e-05,"HORVU.MOREX.r3.1HG0037800/HORVU.MOREX.r3.1HG0086360/HORVU.MOREX.r3.2HG0121800/HORVU.MOREX.r3.2HG0122110/HORVU.MOREX.r3.3HG0298250/HORVU.MOREX.r3.4HG0341950/HORVU.MOREX.r3.4HG0410560/HORVU.MOREX.r3.5HG0536100/HORVU.MOREX.r3.6HG0567150/HORVU.MOREX.r3.7HG0701300",10
